Talker,Listener,Chat Time (Seconds)
Malia,Erica,526
Malia,Trinity,1464
Malia,Aniyah,421
Malia,Desmond,265
Erica,Imani,304
Erica,Esther,963
Erica,Malia,473
Erica,Desmond,265
Kendall,Imani,304
Kendall,Graham,1673
Kendall,Brooklyn,432
Kendall,Mitchell,471
Madilyn,Victoria,574
Madilyn,Danica,390
Danica,Maggie,197
Danica,Esther,963
Danica,Madilyn,416
Esther,Imani,304
Esther,Maggie,197
Esther,Danica,390
Esther,Erica,526
Maggie,Esther,963
Maggie,Danica,390
Mitchell,Graham,1673
Mitchell,Brooklyn,432
Mitchell,Kendall,626
Mitchell,Trinity,1464
Mitchell,Tony,431
Brooklyn,Graham,1673
Brooklyn,Kaiden,392
Brooklyn,Mitchell,471
Brooklyn,Kendall,626
Kaiden,Bianca,2571
Kaiden,Darren,1904
Kaiden,Cade,517
Kaiden,Brooklyn,432
Cade,Bianca,2571
Cade,Darren,1904
Cade,Taylor,234
Cade,Kaiden,392
Taylor,Carmen,2564
Taylor,Nadia,348
Taylor,Cole,763
Taylor,Cade,517
Cole,Carmen,2564
Cole,Porter,372
Cole,Nadia,348
Cole,Taylor,234
Nadia,Crystal,78
Nadia,Carmen,2564
Nadia,Cole,763
Nadia,Taylor,234
Scott,Lawrence,292
Scott,Cohen,48
Scott,Cecilia,501
Scott,Kelvin,1507
Amari,Brett,118
Amari,Yasmin,1049
Amari,Lane,196
Amari,Makenna,193
Amari,Beckett,350
Lane,Brett,118
Lane,Georgia,1037
Lane,Yasmin,1049
Lane,Derek,313
Lane,Dominic,1741
Lane,Amari,1735
Dominic,Georgia,1037
Dominic,Derek,313
Dominic,Lane,196
Dominic,Lydia,257
Dominic,Makenna,193
Dominic,Pedro,349
Derek,Carly,1079
Derek,Georgia,1037
Derek,Lauren,350
Derek,Dominic,1741
Derek,Lane,196
Derek,Lindsay,1697
Lauren,Carly,1079
Lauren,Derek,313
Lauren,Lindsay,1697
Graham,Kristopher,9
Graham,Brooklyn,432
Graham,Mitchell,471
Graham,Kendall,626
Fabian,Lucas,151
Fabian,Esteban,56
Fabian,Easton,140
Fabian,Luna,467
Fabian,Kara,32
Porter,Charlie,282
Porter,Mya,1007
Porter,Cole,763
Paul,Asher,101
Paul,Rose,1018
Paul,Juliet,20
Paul,Emiliano,134
Sam,Wendy,700
Sam,Teagan,543
Sam,Jordan,62
Yasmin,Brett,118
Yasmin,Bryce,860
Yasmin,Anaya,183
Yasmin,Lane,196
Yasmin,Amari,1735
Anaya,Megan,1127
Anaya,Issac,316
Anaya,Georgia,1037
Anaya,Bryce,860
Anaya,Yasmin,1049
Bryce,Lizbeth,668
Bryce,Anaya,183
Bryce,Yasmin,1049
Georgia,Megan,1127
Georgia,Issac,316
Georgia,Anaya,183
Georgia,Derek,313
Georgia,Dominic,1741
Georgia,Lane,196
Issac,Megan,1127
Issac,Gabriella,914
Issac,Timothy,318
Issac,Carly,1079
Issac,Georgia,1037
Issac,Anaya,183
Carly,Gabriella,914
Carly,Timothy,318
Carly,Issac,316
Carly,Lauren,350
Carly,Derek,313
Carly,Lindsay,1697
Timothy,Gabriella,914
Timothy,Carly,1079
Timothy,Issac,316
Gabriella,Timothy,318
Gabriella,Carly,1079
Gabriella,Issac,316
Alivia,Allison,476
Shelby,Cristopher,371
Shelby,Jamie,58
Esmeralda,Skyler,42
Esmeralda,Summer,109
Esmeralda,Isabelle,569
Esmeralda,Lorenzo,110
Ana,London,191
Ana,Adam,246
Adam,London,191
Adam,Ana,315
Harper,Henry,46
Harper,Braiden,42
Harper,Isabella,1193
Harper,Judah,1288
Harper,Cesar,523
Harper,Patricia,47
Patricia,Ivan,1195
Patricia,Judah,1288
Patricia,Danny,512
Patricia,Cesar,523
Patricia,Harper,1192
Nora,Lillie,19
Nora,Quinn,37
Nora,Dennis,782
Nora,Max,2048
Nora,Ian,535
Rafael,Fatima,269
Rafael,Darius,62
Rafael,Micheal,918
Rafael,Cali,101
Cali,Fatima,269
Cali,Darius,62
Cali,Maximilian,97
Cali,Rafael,85
Kaitlin,Kade,366
Kaitlin,Faith,339
Kaitlin,Kennedy,115
Kennedy,Rebecca,225
Kennedy,Francisco,107
Kennedy,Axel,56
Kennedy,Kaitlin,1017
Larry,Elliott,98
Larry,Zachary,475
Zachary,Elliott,98
Zachary,Brianna,953
Zachary,Julio,1112
Zachary,Larry,567
Julio,Brianna,953
Julio,Zachary,475
Aaden,Jace,128
Jace,Danika,46
Jace,Hunter,247
Jace,Chelsea,440
Jace,Aaden,2181
Cayden,Alicia,497
Cayden,Lucy,184
Lucy,Grace,212
Lucy,Alicia,497
Lucy,Hayden,873
Lucy,Cayden,436
Hayden,Grace,212
Hayden,Braydon,1307
Hayden,Nathaniel,211
Hayden,Dustin,130
Hayden,Lucy,184
Alicia,Lucy,184
Alicia,Cayden,436
Dustin,Alexander,181
Dustin,Braydon,1307
Dustin,Nathaniel,211
Dustin,Hayden,873
Nathaniel,Eliza,153
Nathaniel,Braydon,1307
Nathaniel,Dustin,130
Nathaniel,Hayden,873
Braydon,Nathaniel,211
Braydon,Dustin,130
Braydon,Hayden,873
Gary,Brenden,331
Gary,Ryder,686
Gary,Fernando,304
Gary,Kolton,527
Gary,Tiffany,322
Gary,Rachel,530
Gary,Kayden,1010
Kayden,Brenden,331
Kayden,Kolton,527
Kayden,Tiffany,322
Kayden,Gary,1048
Rachel,Ryder,686
Rachel,Fernando,304
Rachel,Hannah,1332
Rachel,Gary,1048
Brianna,Valeria,301
Brianna,Julio,1112
Brianna,Zachary,475
Valeria,Khalil,281
Valeria,Baylee,154
Valeria,Nasir,1966
Valeria,Brianna,953
Jesus,Moses,166
Jesus,Jonah,80
Jesus,Ricky,503
Jesus,Priscilla,1001
Nasir,Khalil,281
Nasir,Baylee,154
Nasir,Valeria,301
Priscilla,Moses,166
Priscilla,Ricky,503
Priscilla,Jesus,125
Imani,Esther,963
Imani,Kendall,626
Imani,Erica,526
Hannah,Rachel,530
Lorenzo,Victor,76
Lorenzo,Skyler,42
Lorenzo,Scarlett,142
Lorenzo,Jazmin,114
Lorenzo,Isabelle,569
Lorenzo,Esmeralda,360
Tiffany,Brenden,331
Tiffany,William,794
Tiffany,Kolton,527
Tiffany,Kayden,1010
Tiffany,Gary,1048
Walter,Colton,602
Walter,Armando,81
Isabelle,Skyler,42
Isabelle,Lorenzo,110
Isabelle,Esmeralda,360
Kristopher,Ernesto,888
Kristopher,Kara,32
Kristopher,Graham,1673
Kara,Ernesto,888
Kara,Kristopher,9
Kara,Fabian,559
Darren,Ernesto,888
Darren,Bianca,2571
Darren,Jordan,62
Darren,Cade,517
Darren,Kaiden,392
Jordan,Ernesto,888
Jordan,Darren,1904
Jordan,Sam,549
Allison,Mallory,76
Allison,Jazmine,178
Allison,Teagan,543
Allison,Alivia,179
Teagan,Mallory,76
Teagan,Wendy,700
Teagan,Jazmine,178
Teagan,Allison,476
Teagan,Sam,549
Jazmine,Mallory,76
Jazmine,Grant,1201
Jazmine,Alexandria,1229
Jazmine,Teagan,543
Jazmine,Allison,476
Alexandria,Charlie,282
Alexandria,Grant,1201
Alexandria,Jazmine,178
Kelvin,Lawrence,292
Kelvin,Chloe,514
Kelvin,Autumn,33
Kelvin,Cecilia,501
Kelvin,Scott,73
Santiago,Kaylin,52
Santiago,Laura,1134
Santiago,Theodore,40
Santiago,Lincoln,44
Santiago,Anne,528
Santiago,Angel,675
Jamari,Emanuel,924
Jamari,Brenda,1070
Jamari,Jacqueline,2050
Jamari,Jonathan,542
Jonathan,George,799
Jonathan,Max,2048
Jonathan,Jacqueline,2050
Jonathan,Jamari,989
Ian,Keaton,46
Ian,Lillie,19
Ian,Jenna,711
Ian,Max,2048
Ian,Jacqueline,2050
Ian,Nora,288
Jacqueline,Keaton,46
Jacqueline,Jenna,711
Jacqueline,Ian,535
Jacqueline,Jonathan,542
Jacqueline,Jamari,989
Reed,Luca,456
Reed,Olivia,292
Reed,Sienna,444
Reed,Angel,675
Angel,Lincoln,44
Angel,Anne,528
Angel,Sienna,444
Angel,Reed,1150
Angel,Santiago,1205
Eden,Corey,549
Max,Lillie,19
Max,George,799
Max,Ian,535
Max,Jonathan,542
Max,Nora,288
Sienna,Claudia,263
Sienna,Phoebe,116
Sienna,Angel,675
Sienna,Reed,1150
Jackson,Sadie,765
Jackson,Jonas,43
Jackson,Israel,44
Jackson,Lana,38
Jackson,Finn,950
Jackson,Amber,1023
Lana,Caitlin,87
Lana,Sadie,765
Lana,Stephen,42
Lana,Jonas,43
Lana,Jackson,945
Lana,Alan,842
Caitlyn,Claire,756
Caitlyn,Camille,544
Caitlyn,Meredith,243
Caitlyn,Kadence,526
Caitlyn,Connor,765
Meredith,Claire,756
Meredith,Camille,544
Meredith,Caitlyn,36
Meredith,Amber,1023
Meredith,Nina,1560
Corey,Pablo,129
Corey,Eden,242
Pablo,Kaylee,393
Pablo,Corey,549
Nancy,Sophie,827
Nancy,Lance,739
Nancy,Brian,171
Nancy,Calvin,166
Nancy,Lexi,843
Ava,Diana,47
Ava,Dane,589
Ava,John,182
John,Diana,47
John,Dane,589
John,Ava,1075
John,Dorian,75
Alejandro,Lyla,346
Alejandro,Emerson,317
Alejandro,Carmen,2564
Alejandro,Sophia,321
Alejandro,Abby,120
Alejandro,Anderson,342
Carmen,Lyla,346
Carmen,Emerson,317
Carmen,Alejandro,49
Carmen,Nadia,348
Carmen,Cole,763
Carmen,Taylor,234
Cecilia,Elena,415
Cecilia,Lawrence,292
Cecilia,Aubree,181
Cecilia,Kelvin,1507
Cecilia,Scott,73
Brett,Harmony,82
Brett,Yasmin,1049
Brett,Lane,196
Brett,Amari,1735
Megan,Jason,813
Megan,London,191
Megan,Issac,316
Megan,Georgia,1037
Megan,Anaya,183
London,Jason,813
London,Megan,1127
London,Adam,246
London,Ana,315
Lizbeth,Keira,70
Lizbeth,Bryce,860
Armando,Diego,31
Armando,Walter,22
Emery,Nathan,88
Emery,Emily,85
Summer,Lesly,53
Summer,Esmeralda,360
Emily,Gregory,394
Emily,Emery,53
Brenda,Emanuel,924
Brenda,Micheal,918
Brenda,Jamari,989
Micheal,Brenda,1070
Micheal,Rafael,85
Axel,Jeremiah,95
Axel,Brennan,107
Axel,Myles,226
Axel,Rebecca,225
Axel,Francisco,107
Axel,Kennedy,115
David,Julian,1163
David,Rowan,154
Francisco,Rebecca,225
Francisco,Maximilian,97
Francisco,Axel,56
Francisco,Kennedy,115
Maximilian,Francisco,107
Maximilian,Cali,101
Darius,Shannon,268
Darius,Lukas,173
Darius,Kayla,105
Darius,Fatima,269
Darius,Cali,101
Darius,Rafael,85
Autumn,Izaiah,108
Autumn,Chloe,514
Autumn,Kelvin,1507
Grant,Salvador,545
Grant,Mya,1007
Grant,Chloe,514
Grant,Alexandria,1229
Grant,Jazmine,178
Chloe,Salvador,545
Chloe,Mya,1007
Chloe,Grant,1201
Chloe,Autumn,33
Chloe,Kelvin,1507
Fatima,Katelynn,43
Fatima,Valentina,41
Fatima,Darius,62
Fatima,Cali,101
Fatima,Rafael,85
Jazmin,Amelia,1041
Jazmin,Victor,76
Jazmin,Scarlett,142
Jazmin,Lorenzo,110
Ricky,Jayden,272
Ricky,Sarah,274
Ricky,Moses,166
Ricky,Priscilla,1001
Ricky,Jesus,125
Baylee,Khalil,281
Baylee,Jonah,80
Baylee,Nasir,1966
Baylee,Valeria,301
Jonah,Baylee,154
Jonah,Jesus,125
Payton,Jaden,535
Payton,Moses,166
Moses,Payton,93
Moses,Ricky,503
Moses,Priscilla,1001
Moses,Jesus,125
Amaya,Kyra,474
Amaya,Janelle,223
Amaya,Callie,49
Cheyenne,Bridget,189
Cheyenne,Connor,765
Madyson,Keith,1270
Madyson,Viviana,308
Madyson,Samara,747
Madyson,Zoe,1254
Madyson,Emilee,288
Samara,Keith,1270
Samara,Viviana,308
Samara,Madyson,42
Samara,Jack,1456
Samara,Albert,546
Alyson,Keith,1270
Alyson,Itzel,431
Alyson,Ruth,51
Alyson,Sofia,32
Alyson,Janiyah,674
Alyson,Alan,842
Alyson,Zoe,1254
Janiyah,Keith,1270
Janiyah,Itzel,431
Janiyah,Ruth,51
Janiyah,Alyson,51
Janiyah,Alayna,538
Janiyah,Jack,1456
Hayley,Stephanie,351
Hayley,Shane,427
Hayley,Bianca,2571
Hayley,Alijah,429
Hayley,Romeo,350
Bianca,Stephanie,351
Bianca,Shane,427
Bianca,Hayley,48
Bianca,Darren,1904
Bianca,Cade,517
Bianca,Kaiden,392
Aden,Jayla,822
Aden,Ruth,51
Aden,Sofia,32
Aden,Romeo,350
Sofia,Jayla,822
Sofia,Ruth,51
Sofia,Aden,416
Sofia,Alyson,51
Sofia,Alan,842
Sofia,Zoe,1254
Luna,Lucas,151
Luna,Ramon,643
Luna,Esteban,56
Luna,Easton,140
Luna,Fabian,559
Wendy,Paris,124
Wendy,Easton,140
Wendy,Teagan,543
Wendy,Sam,549
Easton,Lucas,151
Easton,Paris,124
Easton,Esteban,56
Easton,Wendy,700
Easton,Luna,467
Easton,Fabian,559
Esteban,Lucas,151
Esteban,Lillian,138
Esteban,Paris,124
Esteban,Emiliano,134
Esteban,Easton,140
Esteban,Luna,467
Esteban,Fabian,559
Emiliano,Lillian,138
Emiliano,Paris,124
Emiliano,Esteban,56
Emiliano,Paul,102
Juliet,Beau,1138
Juliet,Lindsey,53
Juliet,Alvin,97
Juliet,Asher,101
Juliet,Rose,1018
Juliet,Paul,102
Delilah,Maria,436
Delilah,Parker,44
Delilah,Lauryn,484
Delilah,Aaron,35
Delilah,Skylar,40
Delilah,Cesar,523
Cesar,Maria,436
Cesar,Judah,1288
Cesar,Parker,44
Cesar,Delilah,674
Cesar,Patricia,47
Cesar,Harper,1192
Olivia,Ruby,388
Olivia,Luca,456
Olivia,Eddie,370
Olivia,Reed,1150
Eddie,Ruby,388
Eddie,Jillian,636
Eddie,Brandon,36
Eddie,Hadley,42
Eddie,Olivia,292
George,Maya,43
George,Ruby,388
George,Saul,493
George,Hadley,42
George,Max,2048
George,Jonathan,542
Hadley,Maya,43
Hadley,Ruby,388
Hadley,Saul,493
Hadley,Jillian,636
Hadley,Brandon,36
Hadley,George,799
Hadley,Eddie,370
Brandon,Andy,638
Brandon,Maya,43
Brandon,Tyler,474
Brandon,Jillian,636
Brandon,Hadley,42
Brandon,Eddie,370
Skylar,Ty,681
Skylar,Miracle,38
Skylar,Lauryn,484
Skylar,Aaron,35
Skylar,Audrey,584
Skylar,Delilah,674
Audrey,Ty,681
Audrey,Miracle,38
Audrey,Rachael,33
Audrey,Ariel,1199
Audrey,Skylar,40
Dennis,Trevor,39
Dennis,Stella,483
Dennis,Quinn,37
Dennis,Aaron,35
Dennis,Nora,288
Aaron,Trevor,39
Aaron,Lauryn,484
Aaron,Stella,483
Aaron,Dennis,782
Aaron,Skylar,40
Aaron,Delilah,674
Quinn,Alexis,754
Quinn,Catherine,120
Quinn,Shaun,179
Quinn,Dennis,782
Quinn,Nora,288
Ariel,Tristan,39
Ariel,Declan,39
Ariel,Rachael,33
Ariel,Audrey,584
Jillian,Drake,37
Jillian,Anne,528
Jillian,Brandon,36
Jillian,Hadley,42
Jillian,Eddie,370
Anne,Drake,37
Anne,Lincoln,44
Anne,Jillian,636
Anne,Angel,675
Anne,Santiago,1205
Lincoln,Gracie,1207
Lincoln,Judah,1288
Lincoln,Ricardo,525
Lincoln,Anne,528
Lincoln,Angel,675
Lincoln,Santiago,1205
Weston,Silas,52
Weston,Annabelle,403
Weston,Joe,54
Weston,Sandra,67
Weston,Guadalupe,39
Jane,Brittany,306
Jane,Angelo,248
Jane,Rose,1018
Rose,Asher,101
Rose,Angelo,248
Rose,Jane,119
Rose,Juliet,20
Rose,Paul,102
Chelsea,Danika,46
Chelsea,Hunter,247
Chelsea,Jace,128
Peter,Presley,1454
Peter,Alex,49
Peter,Carl,246
Peter,Hunter,247
Hunter,Danika,46
Hunter,Peter,317
Hunter,Chelsea,440
Hunter,Jace,128
Kolton,Brenden,331
Kolton,Jamarion,243
Kolton,Carl,246
Kolton,Tiffany,322
Kolton,Kayden,1010
Kolton,Gary,1048
Carl,Presley,1454
Carl,Jamarion,243
Carl,Alex,49
Carl,Kolton,527
Carl,Peter,317
Danika,Nelson,777
Danika,Kingston,561
Danika,Grace,212
Danika,Hunter,247
Danika,Chelsea,440
Danika,Jace,128
Grace,Nelson,777
Grace,Kingston,561
Grace,Danika,46
Grace,Hayden,873
Grace,Lucy,184
Collin,Marlee,85
Collin,Rylee,195
Collin,Hailey,629
Dane,Cassandra,269
Dane,Diana,47
Dane,John,182
Dane,Ava,1075
Diana,Mason,635
Diana,Marvin,182
Diana,Kathryn,1092
Diana,Dane,589
Diana,John,182
Diana,Ava,1075
Kathryn,Mason,635
Kathryn,Marvin,182
Kathryn,Diana,47
Marvin,Kylie,74
Marvin,Mason,635
Marvin,Kathryn,1092
Marvin,Diana,47
Mason,Marvin,182
Mason,Kathryn,1092
Mason,Diana,47
Mason,Savanna,269
Brian,Sophie,827
Brian,Kylie,74
Brian,Lance,739
Brian,Nancy,48
Lance,Sophie,827
Lance,Joselyn,1889
Lance,Brian,171
Lance,Nancy,48
Camille,Claire,756
Camille,Meredith,243
Camille,Caitlyn,36
Israel,Layla,902
Israel,Jackson,945
Israel,Finn,950
Israel,Amber,1023
Claire,Solomon,633
Claire,Camille,544
Claire,Meredith,243
Claire,Caitlyn,36
Shane,Lyla,346
Shane,Stephanie,351
Shane,Bianca,2571
Shane,Hayley,48
Aubree,Elena,415
Aubree,Lacey,539
Aubree,Crystal,78
Aubree,Cecilia,501
Crystal,Lacey,539
Crystal,Aubree,181
Crystal,Nadia,348
Joselyn,Kylee,197
Joselyn,Lacey,539
Joselyn,Lance,739
Lacey,Kylee,197
Lacey,Joselyn,1889
Lacey,Crystal,78
Lacey,Aubree,181
Harmony,Cohen,48
Harmony,Brett,118
Cohen,Harmony,82
Cohen,Scott,73
Emerson,Lyla,346
Emerson,Sophie,827
Emerson,Carmen,2564
Emerson,Alejandro,49
Tessa,Scarlett,142
Scarlett,Victor,76
Scarlett,Tessa,519
Scarlett,Jazmin,114
Scarlett,Lorenzo,110
Elise,Jorge,119
Elise,Violet,304
Violet,Estrella,458
Violet,Marely,225
Violet,Jorge,119
Violet,Elise,208
Keira,Erika,141
Keira,Sawyer,222
Keira,Milo,59
Keira,Lizbeth,668
Milo,Cristian,469
Milo,Erika,141
Milo,Gregory,394
Milo,Sawyer,222
Milo,Skyler,42
Milo,Keira,70
Skyler,Cristian,469
Skyler,Gregory,394
Skyler,Milo,59
Skyler,Isabelle,569
Skyler,Lorenzo,110
Skyler,Esmeralda,360
Victor,Mekhi,377
Victor,Scarlett,142
Victor,Jazmin,114
Victor,Lorenzo,110
Sawyer,Erika,141
Sawyer,Sabrina,287
Sawyer,Milo,59
Sawyer,Keira,70
Gregory,Cristian,469
Gregory,Skyler,42
Gregory,Milo,59
Gregory,Emily,85
Amelia,Karina,1279
Amelia,Faith,339
Amelia,Jazmin,114
Faith,Kade,366
Faith,Karina,1279
Faith,Amelia,1041
Faith,Kaitlin,1017
Karina,Faith,339
Karina,Amelia,1041
Rowan,Julian,1163
Rowan,Myles,226
Rowan,Rebecca,225
Rowan,David,686
Rebecca,Myles,226
Rebecca,Rowan,154
Rebecca,Francisco,107
Rebecca,Axel,56
Rebecca,Kennedy,115
Myles,Jeremiah,95
Myles,Brennan,107
Myles,Rebecca,225
Myles,Rowan,154
Myles,Axel,56
Sabrina,Jade,8
Sabrina,Sawyer,222
Jade,Destiny,51
Jade,Sabrina,287
Mekhi,Randy,45
Mekhi,Victor,76
Lesly,Vivian,90
Lesly,Summer,109
Brennan,Leonardo,93
Brennan,Jeremiah,95
Brennan,Myles,226
Brennan,Axel,56
Jeremiah,Raymond,410
Jeremiah,Brennan,107
Jeremiah,Myles,226
Jeremiah,Axel,56
Nathan,Jamie,58
Nathan,Emery,53
Jamie,Nathan,88
Jamie,Shelby,122
Trent,Austin,89
Trent,Jacoby,355
Adrian,Vivian,90
Adrian,Caden,55
Elizabeth,Eric,91
Elizabeth,Cameron,306
Caden,Reese,443
Caden,Adrian,59
Kayla,Leonardo,93
Kayla,Shannon,268
Kayla,Lukas,173
Kayla,Darius,62
Lukas,Holden,531
Lukas,Shannon,268
Lukas,Kayla,105
Lukas,Darius,62
Cameron,Chris,179
Cameron,Elizabeth,59
Jacoby,Trent,56
Shannon,Katelynn,43
Shannon,Jasmin,281
Shannon,Reese,40
Shannon,Lukas,173
Shannon,Kayla,105
Shannon,Darius,62
Valentina,Lilliana,44
Valentina,Katelynn,43
Valentina,Jenna,711
Valentina,Fatima,269
Jenna,Keaton,46
Jenna,Lilliana,44
Jenna,Valentina,41
Jenna,Jacqueline,2050
Jenna,Ian,535
Kylee,Elena,415
Kylee,Lawrence,292
Kylee,Lacey,539
Kylee,Joselyn,1889
Lawrence,Elena,415
Lawrence,Kylee,197
Lawrence,Cecilia,501
Lawrence,Kelvin,1507
Lawrence,Scott,73
Elena,Lawrence,292
Elena,Kylee,197
Elena,Aubree,181
Elena,Cecilia,501
Chris,Alfredo,21
Chris,Cameron,306
Diego,Byron,393
Diego,Gustavo,34
Diego,Cristopher,371
Diego,Armando,81
Cristopher,Byron,393
Cristopher,Gustavo,34
Cristopher,Diego,31
Cristopher,Shelby,122
Gustavo,Byron,393
Gustavo,Fernanda,519
Gustavo,Haylie,96
Gustavo,Reese,443
Gustavo,Cristopher,371
Gustavo,Diego,31
Reese,Fernanda,519
Reese,Haylie,96
Reese,Gustavo,34
Reese,Caden,55
Haylie,Fernanda,519
Haylie,Jake,24
Haylie,Reese,443
Haylie,Gustavo,34
Jake,Marisol,683
Jake,Alfredo,21
Jake,Emanuel,924
Jake,Haylie,96
Emanuel,Marisol,683
Emanuel,Alfredo,21
Emanuel,Jake,24
Emanuel,Brenda,1070
Emanuel,Jamari,989
Alfredo,Marisol,683
Alfredo,Emanuel,924
Alfredo,Jake,24
Alfredo,Chris,179
Mya,Charlie,282
Mya,Salvador,545
Mya,Chloe,514
Mya,Grant,1201
Mya,Porter,372
Mallory,Orlando,87
Mallory,Jazmine,178
Mallory,Teagan,543
Mallory,Allison,476
Kiley,Byron,393
Kiley,Aubrie,52
Kiley,Leland,1212
Kiley,Orlando,87
Orlando,Aubrie,52
Orlando,Leland,1212
Orlando,Kiley,293
Orlando,Mallory,76
Marisol,Natasha,1311
Marisol,Hope,125
Marisol,Noel,62
Marisol,Alfredo,21
Marisol,Emanuel,924
Marisol,Jake,24
Jorge,Julian,1163
Jorge,Kade,366
Jorge,Violet,304
Jorge,Elise,208
Kade,Julian,1163
Kade,Jorge,119
Kade,Faith,339
Kade,Kaitlin,1017
Julian,Kade,366
Julian,Jorge,119
Julian,Rowan,154
Julian,David,686
Izaiah,Salvador,545
Izaiah,Colton,602
Izaiah,Autumn,33
Colton,Salvador,545
Colton,Izaiah,108
Colton,Walter,22
Raymond,Elliott,98
Raymond,Jeremiah,95
Elliott,Raymond,410
Elliott,Zachary,475
Elliott,Larry,567
Holden,Dulce,231
Holden,Callie,49
Holden,Lukas,173
Callie,Dulce,231
Callie,Holden,531
Callie,Amaya,304
Dulce,Natalie,353
Dulce,Erin,496
Dulce,Callie,49
Dulce,Holden,531
Janelle,Damien,468
Janelle,Natalie,353
Janelle,Kyra,474
Janelle,Amaya,304
Kyra,Greyson,234
Kyra,Jaden,535
Kyra,Janelle,223
Kyra,Amaya,304
Jaden,Greyson,234
Jaden,Kyra,474
Jaden,Payton,93
Greyson,Christian,352
Greyson,Damien,468
Greyson,Jaden,535
Greyson,Kyra,474
Titus,Eli,1063
Titus,Alison,684
Titus,Fernando,304
Fernando,Ryder,686
Fernando,Titus,114
Fernando,Rachel,530
Fernando,Gary,1048
Aurora,Alison,684
Aurora,Mackenzie,271
Aurora,Isabel,281
Sarah,Jayden,272
Sarah,Isabel,281
Sarah,Ryder,686
Sarah,Ricky,503
Ryder,Isabel,281
Ryder,Sarah,274
Ryder,Fernando,304
Ryder,Rachel,530
Ryder,Gary,1048
Isabel,Ryder,686
Isabel,Sarah,274
Isabel,Aurora,129
Jayden,Keegan,212
Jayden,Sarah,274
Jayden,Ricky,503
Marely,Estrella,458
Marely,Violet,304
Estrella,Marely,225
Estrella,Violet,304
Destiny,Austin,89
Destiny,Jade,8
Randy,Eric,91
Randy,Mekhi,377
Reese,Lilliana,44
